Name	Description	Phone Number	Phone 2 Label	Phone 2	Website	Address	Service Type	County
Catholic Charities	"Provides Counseling Services, Financial Aid/Voucher Services, Mental Health Services,Parent/Family Support Services, Pregnancy Services, and Support Group Services."	518-300-0272			www.cathcharities.org	"43 Durkee Street, Plattsburgh, NY"	FoodBasicNeeds	Clinton
Dept. of Social Services	"The Department of Social Services is a complex agency, one which administers many programs with many clients. In financial services, our goal is to help the needy receive benefits and to help them not need them. We have a whole array of services, which can help individuals attain self-sufficiency. In Social Services, we focus on families' strengths and build on them in order to preserve those families and make them stronger. These holistic approaches are ones which we always try to maintain with the view that all we do at the Clinton County Department of Social Services contributes to making Clinton County stronger and a better place to live."	518-565-3300			www.clintoncountygov.com/dss	"137 Margaret Street, Plattsburgh NY"	FoodBasicNeeds	Clinton
Interfaith Food Shelf	"Hunger in the suburbs is not always visible, but it is no less real. The Interfaith Outreach Food Shelf serves over 250 households per week. 44% of the people served are children. The food shelf is a safety net and supplemental resource for families and seniors who live on low and fixed incomes. Fresh produce is available and restocked daily thanks to donations from local grocery stores through food rescue initiatives. Staffed by hundreds of volunteers who arrange products to create a grocery store choice experience, the food shelf is attentive and responsive to cultural and dietary needs and essential family products such as diapers, cleaning supplies and personal hygiene products. Interfaith Outreach is an equal opportunity provider."	518-562-3663			www.regionalfoodbank.net/agencies/plattsburgh-interfaith-food-pantry/	"127 Beekman St, Plattsburgh, NY"	FoodBasicNeeds	Clinton
JCEO	"JCEO is a private, not-for-profit human service agency that serves the residents of Clinton and Franklin Counties through its main administrative offices as well as 13 Community Outreach Centers and 10 Head Start Centers.  All programs are based on JCEO�s mission to alleviate poverty through practical, timely, and innovative services that emphasize and develop problem-solving skills for people."	518-561-6310			www.jceo.org/	"54 Margaret St., Plattsburgh, NY"	FoodBasicNeeds	Clinton
Office for the Aging	"Older adults of Clinton County are fortunate to have available a variety of services designed to help support their independence as long as possible. Older adults have been instrumental in identifying and creating those services and in providing needed day-to-day care for their families and friends. The Clinton County Office for the Aging is pleased to make this web site available. It lists and briefly describes services provided by the OFA or its subcontractors.  They include health and wellness, housing, nutrition, transportation and a number of other services."	518-561-4620			www.clintoncountygov.com/aging	"137 Margaret Street, Plattsburgh NY"	FoodBasicNeeds	Clinton
Red Cross	"For more than a century, people across Eastern New York have been able to depend on the Red Cross to provide relief for disaster victims, health and safety training, support for members of the military and a safe and stable blood supply."	518-561-7280			www.redcross.org/local/new-york/eastern-new-york/about-us/locations/north-country.html	"26 Emory Street, Morrisonville, NY"	FoodBasicNeeds	Clinton
Salvation Army	"The Salvation Army exists to meet human need wherever, whenever, and however we can. FIRST, we assess the needs of each community in which we serve. We work to understand the obstacles, hardships, and challenges native to the area's particular population. NEXT, we build local programs designed to offer immediate relief, short-term care, and long-term growth in the areas that will best benefit the community. THEN, we offer the local programs to the local community, working to continually optimize their efficacy via spiritual, physical, and emotional service."	518-561-2951			www.salvationarmyusa.org/usn/	"4804 S. Catherine Street, Plattsburgh, NY"	FoodBasicNeeds	Clinton
Child Care Coordinating Council	"Children are our most important resource, and here at the Child Care Coordinating Council of the North Country, we believe that strong families create a strong community. Our part in this is to offer high quality, responsive and dynamic programs and services. CCCCNC is a non profit agency working to support and strengthen families and child care professionals throughout the North County area."	518-561-4999			www.ccccnc.org/	"194 US Oval, Plattsburgh NY"	FamilyNeeds	Clinton
JCEO	"JCEO is a private, not-for-profit human service agency that serves the residents of Clinton and Franklin Counties through its main administrative offices as well as 13 Community Outreach Centers and 10 Head Start Centers.  All programs are based on JCEO�s mission to alleviate poverty through practical, timely, and innovative services that emphasize and develop problem-solving skills for people."	518-561-6310			www.jceo.org/	"54 Margaret St., Plattsburgh, NY"	FamilyNeeds	Clinton
Dept. of Public Health	"Public health is the science of protecting and improving the health of families and communities through promotion of healthy lifestyles, research for disease and injury prevention and detection and control of infectious diseases. The Clinton County Department of Public Health has provided quality public health services to the residents of Clinton County since 1955. Recently in 2015 we were awarded accreditation from the nationally renowned Public Health Accreditation Board for meeting the national standards of public health department performance. The activities of the Health Department are overseen by the eight members of the Board of Health whose purpose is to protect the quality of life and health for all county residents."	518-565-4840			www.clintonhealth.org/	"133 Margaret Street, Plattsburgh, NY"	PublicHealth	Clinton
CVPH	"Champlain Valley Physicians Hospital is part of The University of Vermont Health Network, a six-hospital network serving patients and their families in Northern New York and Vermont. While we have changed our name, our commitment to the community remains the same. Our hospitals and physicians are bringing the best of community and academic medicine together as one, sharing their knowledge and resources to give you access to leading-edge technology, advanced treatment options and the highest level of compassionate care. All of this, closer to home."	518-561-2000			www.cvph.org/	"75 Beekman Street, Plattsburgh, NY"	PublicHealth	Clinton
"Behavioral Health Services North, inc."	"BHSN is a regional leader in health care and support services in northern New York State along the shores of Lake Champlain and bordering the Adirondack mountains. Through our 20+ programs and partnerships with other regional providers, we work to improve care, strengthen individuals, families and community life by delivering health care, human services and systems that provide essential, responsive and cost-effective care."	518-563-8000			bhsn.org/	"22 US Oval, Suite 218, Plattsburgh, NY"	MentalHealth	Clinton
Champlain Valley Family Center	"Alcohol and substance use addiction can tear apart families, careers and friendships. The trained staff at Champlain Valley Family Center helps individuals and their families heal those wounds and move A Step Forward. Champlain Valley Family Center is a private, non-profit community-based organization. We are dedicated to providing substance abuse treatment, prevention, education and related support programs to promote the well-being and quality of life for the residents of Clinton County, NY."	518-561-8480			cvfamilycenter.org/	"20 Ampersand Drive, Plattsburgh, NY 12901"	MentalHealth	Clinton
